"sublist1" "laying" "standing" "sitting" "walking_down" "walking_up" "walking"
"tBodyAcc-mean()-X" 0.268648643296245 0.279153494050367 0.273059614418965 0.288137227760313 0.26229464948342 0.26229464948342
"tBodyAcc-mean()-Y" -0.0183177280685082 -0.016151886473745 -0.0126895730832639 -0.0163119254923574 -0.0259232890342181 -0.0259232890342181
"tBodyAcc-mean()-Z" -0.107435631519084 -0.106586908690788 -0.105517003220878 -0.105761624860013 -0.120537934670272 -0.120537934670272
"tGravityAcc-mean()-X" -0.375021333827161 0.941479635262329 0.879731193472144 0.926457404928876 0.875003375958549 0.875003375958549
"tGravityAcc-mean()-Y" 0.622270362899691 -0.18424651390288 0.108713540331707 -0.168507222023357 -0.281377193548575 -0.281377193548575
"tGravityAcc-mean()-Z" 0.55561247407572 -0.0140519613122015 0.153774088505577 -0.0479709004743904 -0.14079566587547 -0.14079566587547
"tBodyAccJerk-mean()-X" 0.0818473898341049 0.0750279173525708 0.0758788492274395 0.0892266917679481 0.0767293215286917 0.0767293215286917
"tBodyAccJerk-mean()-Y" 0.0111723565401199 0.00880525863452886 0.00504690529678683 0.000746749097403983 0.00875888964679404 0.00875888964679404
"tBodyAccJerk-mean()-Z" -0.00485976942268338 -0.00458206132902833 -0.0024866605775919 -0.00872860399406828 -0.00600953398545337 -0.00600953398545337
"tBodyGyro-mean()-X" -0.0167253403420918 -0.0266871408413746 -0.0384313168439482 -0.0840345434632895 0.00682449600215674 0.00682449600215674
"tBodyGyro-mean()-Y" -0.0934107103603086 -0.0677118654705719 -0.0721208098964153 -0.0529928638977233 -0.0885225289752966 -0.0885225289752966
"tBodyGyro-mean()-Z" 0.125885141252623 0.0801422394994229 0.0777771461510523 0.0946781961059175 0.0598938080367487 0.0598938080367487
"tBodyGyroJerk-mean()-X" -0.101864299363374 -0.0997292806919727 -0.0956521058184581 -0.0728532273938407 -0.112117464583562 -0.112117464583562
"tBodyGyroJerk-mean()-Y" -0.038198085408019 -0.0423171100101784 -0.040779780524009 -0.051263979292845 -0.0386192672141386 -0.0386192672141386
"tBodyGyroJerk-mean()-Z" -0.0638498197415123 -0.052095548445404 -0.0507555280236061 -0.0546961525371337 -0.0525810278118912 -0.0525810278118912
"tBodyAccMag-mean()" -0.941110656500514 -0.954179661789087 -0.95464392144063 0.101249699851558 -0.100204123946392 -0.100204123946392
"tGravityAccMag-mean()" -0.941110656500514 -0.954179661789087 -0.95464392144063 0.101249699851558 -0.100204123946392 -0.100204123946392
"tBodyAccJerkMag-mean()" -0.97920875497428 -0.97711802452256 -0.98244444337085 -0.111801821250135 -0.390938624541516 -0.390938624541516
"tBodyGyroMag-mean()" -0.938435972026749 -0.942152523158447 -0.946724138930782 -0.129785639782795 -0.178281147518361 -0.178281147518361
"tBodyGyroJerkMag-mean()" -0.982726626075103 -0.978697092402938 -0.987880071435003 -0.416891551237909 -0.608047148013666 -0.608047148013666
"fBodyAcc-mean()-X" -0.966812071347737 -0.98162230498426 -0.983091966702307 0.035259668648926 -0.293406752279022 -0.293406752279022
"fBodyAcc-mean()-Y" -0.952678416904835 -0.943132376852046 -0.947917966193585 0.0566826541965861 -0.134950514403271 -0.134950514403271
"fBodyAcc-mean()-Z" -0.960018019984568 -0.957359650828961 -0.957031035425999 -0.21372923278293 -0.368122061042293 -0.368122061042293
"fBodyAcc-meanFreq()-X" -0.259376067222388 0.0155958491724008 -0.0426402475024423 -0.400019573396373 -0.436683976651101 -0.436683976651101
"fBodyAcc-meanFreq()-Y" 0.143045583957866 -0.0332741191101417 0.0653031714930951 0.000603134408748222 -0.169851327169637 -0.169851327169637
"fBodyAcc-meanFreq()-Z" 0.20318696277 0.0524670025367366 0.0802983762109857 0.0924263373459659 -0.265200271104081 -0.265200271104081
"fBodyAccJerk-mean()-X" -0.980197655180041 -0.980008693961175 -0.985188769302195 -0.0722967761178656 -0.389896773119819 -0.389896773119819
"fBodyAccJerk-mean()-Y" -0.971383628894033 -0.96454742224554 -0.973988189836804 -0.116380593184566 -0.364666839787014 -0.364666839787014
"fBodyAccJerk-mean()-Z" -0.976614530180041 -0.976157838746065 -0.97956197226224 -0.333190280461238 -0.591670061637306 -0.591670061637306
