"sublist2" "laying" "standing" "sitting" "walking_down" "walking_up" "walking"
"tBodyAcc-std()-X" -0.960932405036523 -0.98443471156873 -0.983446221750141 0.100766330932127 -0.237989747950635 -0.237989747950635
"tBodyAcc-std()-Y" -0.943507185574074 -0.932508714024134 -0.934880562895515 0.0595486228783642 -0.0160325123253303 -0.0160325123253303
"tBodyAcc-std()-Z" -0.948069300024897 -0.939913504673138 -0.938981580616207 -0.190804507442162 -0.175449700484728 -0.175449700484728
"tGravityAcc-std()-X" -0.943319727953189 -0.988015176652676 -0.979682230393922 -0.949748838733997 -0.948191332253886 -0.948191332253886
"tGravityAcc-std()-Y" -0.963191706084414 -0.969351769994753 -0.957672740350591 -0.934266078534851 -0.925549271962435 -0.925549271962435
"tGravityAcc-std()-Z" -0.951868724368827 -0.953082525826338 -0.947357438593134 -0.912460554516358 -0.901905618180052 -0.901905618180052
"tBodyAccJerk-std()-X" -0.980381808513375 -0.97996855569255 -0.984997226336522 -0.0338826468930654 -0.360863432417876 -0.360863432417876
"tBodyAccJerk-std()-Y" -0.971147567757202 -0.964342752203568 -0.973883160517726 -0.0736744063550434 -0.339226496686328 -0.339226496686328
"tBodyAccJerk-std()-Z" -0.979476595910494 -0.979485931469045 -0.982296486972425 -0.388666069444772 -0.627063649764249 -0.627063649764249
"tBodyGyro-std()-X" -0.967892432932613 -0.94552836296957 -0.981022213218908 -0.333817475057255 -0.46760713827921 -0.46760713827921
"tBodyGyro-std()-Y" -0.963192469243827 -0.961293278672613 -0.966708127310073 -0.339631376954339 -0.344231806672079 -0.344231806672079
"tBodyGyro-std()-Z" -0.963509228024691 -0.957053051274921 -0.958007496724817 -0.272809910672304 -0.237136760675842 -0.237136760675842
"tBodyGyroJerk-std()-X" -0.976124813760288 -0.966957942859391 -0.985705127658976 -0.38268977198606 -0.553132758357837 -0.553132758357837
"tBodyGyroJerk-std()-Y" -0.980473581049383 -0.980263299260231 -0.986502338745076 -0.465943810555121 -0.667339157124352 -0.667339157124352
"tBodyGyroJerk-std()-Z" -0.984782526095679 -0.977067117235047 -0.983805514068655 -0.326455992480064 -0.560989210937073 -0.560989210937073
"tBodyAccMag-std()" -0.932160020511831 -0.946534779481637 -0.939324188353517 0.116488914352198 -0.249875157023391 -0.249875157023391
"tGravityAccMag-std()" -0.932160020511831 -0.946534779481637 -0.939324188353517 0.116488914352198 -0.249875157023391 -0.249875157023391
"tBodyAccJerkMag-std()" -0.974240573559671 -0.971452977271773 -0.978907079240293 -0.011220665881458 -0.385400351575259 -0.385400351575259
"tBodyGyroMag-std()" -0.940596109587449 -0.929531182355719 -0.951199015615082 -0.251427800988919 -0.337142124176179 -0.337142124176179
"tBodyGyroJerkMag-std()" -0.976754966054527 -0.973528580524659 -0.98460762855937 -0.440929331631124 -0.666836734071891 -0.666836734071891
"fBodyAcc-std()-X" -0.959031456047479 -0.985859786930745 -0.983747266764209 0.121937984843535 -0.218887990072578 -0.218887990072578
"fBodyAcc-std()-Y" -0.942460971074588 -0.931132967334732 -0.932533490271469 -0.0082336714233357 -0.0218110366534067 -0.0218110366534067
"fBodyAcc-std()-Z" -0.945643635450566 -0.935439598488982 -0.934336687975915 -0.245872896782916 -0.146601790497137 -0.146601790497137
"fBodyAccJerk-std()-X" -0.982459599243827 -0.981826075755509 -0.98618495368036 -0.0821905158144886 -0.388992761276127 -0.388992761276127
"fBodyAccJerk-std()-Y" -0.973051242896091 -0.966831630482686 -0.975750855391109 -0.091416460479564 -0.357632925658886 -0.357632925658886
"fBodyAccJerk-std()-Z" -0.980971915740741 -0.981509250650577 -0.983670821046708 -0.443554664639787 -0.661590843134715 -0.661590843134715
"fBodyGyro-std()-X" -0.96974730340535 -0.946971557429171 -0.982333273978616 -0.375127467913848 -0.49525397668763 -0.49525397668763
"fBodyGyro-std()-Y" -0.961365374902263 -0.959498600608604 -0.964033658897017 -0.36185368284522 -0.29318182767215 -0.29318182767215
"fBodyGyro-std()-Z" -0.966725247165638 -0.960689223903463 -0.961030235486775 -0.38040999928478 -0.292041341940868 -0.292041341940868
"fBodyAccMag-std()" -0.934916672889661 -0.949601613473977 -0.942000150701182 -0.0754251669550853 -0.361753456901554 -0.361753456901554
"fBodyBodyAccJerkMag-std()" -0.97318339962963 -0.970947966726128 -0.978154770658413 -0.0422714225290824 -0.434206731972435 -0.434206731972435
"fBodyBodyGyroMag-std()" -0.942115714415638 -0.93063670339979 -0.951641735873945 -0.361230992213905 -0.381406363802979 -0.381406363802979
"fBodyBodyGyroJerkMag-std()" -0.976648216795267 -0.973461064197272 -0.984491355740011 -0.486442976081671 -0.703083532121114 -0.703083532121114
